SettlementPoint,Year,Month,Mean,Min,Max,SD,Volatility
HB_BUSAVG,2016,1,19.209301075268822,5.12,54.69,5.48521039009743,0.16249068056766391
HB_BUSAVG,2016,2,15.288247126436788,1.79,50.98,5.77717217692724,0.2220866101007388
HB_BUSAVG,2016,3,16.755625841184376,1.22,64.31,7.368496875539129,0.21264834096045265
HB_BUSAVG,2016,4,18.289347222222197,1.18,93.09,9.506142732088001,0.22876809612104296
HB_BUSAVG,2016,5,18.15958333333335,3.03,73.61,8.017220813376365,0.17252213134229483
HB_BUSAVG,2016,6,23.90981944444443,4.02,110.72,11.305436288586218,0.1474267646509526
HB_BUSAVG,2016,7,27.187473118279588,7.61,99.29,12.406065835499756,0.15445013298448879
HB_BUSAVG,2016,8,30.567137096774225,13.39,230.02,27.15155808784458,0.1856390251540778
HB_BUSAVG,2016,9,26.861750000000033,10.89,202.4,14.904298172890444,0.13803347981684003
HB_BUSAVG,2016,10,25.2048387096774,2.92,274.77,16.32711959988236,0.18919955361361515
HB_BUSAVG,2016,11,19.244902777777792,2.3,48.65,6.3781515532879896,0.18670667239993813
HB_BUSAVG,2016,12,25.31830645161287,2.72,139.42,11.105303297399237,0.2053459265760296
HB_BUSAVG,2017,1,23.25278225806453,1.94,96.28,7.471612705493784,0.19584909230492253
HB_BUSAVG,2017,2,20.1178273809524,3.56,52.7,6.538278533511916,0.18480620926186872
HB_BUSAVG,2017,3,22.569892328398367,4.92,78.44,7.988595981559292,0.14796629117751608
HB_BUSAVG,2017,4,23.70508333333335,8.37,81.08,7.768482147422761,0.13957751596882043
HB_BUSAVG,2017,5,25.087352150537626,4.66,65.3,7.952691485425806,0.14532724011087758
HB_BUSAVG,2017,6,27.669152777777793,15.22,82.18,11.114801167073598,0.13152837341867435
HB_BUSAVG,2017,7,31.45427419354836,16.64,257.04,17.838848649545913,0.15465652135762978
HB_BUSAVG,2017,8,27.50701612903228,16.62,88.75,10.898581913248776,0.12391570503998926
HB_BUSAVG,2017,9,24.18416666666669,8.38,59.02,7.9236597783932705,0.11822091419277724
HB_BUSAVG,2017,10,23.563279569892487,3.07,97.54,10.300630159991833,0.16335517319472972
HB_BUSAVG,2017,11,22.677458333333327,4.28,83.65,8.31051267552799,0.16923704618137475
HB_BUSAVG,2017,12,21.187956989247333,5.82,55.67,5.193307565046879,0.15645709778073624
HB_BUSAVG,2018,1,37.86967741935482,5.83,1660.04,87.56361308118339,0.21828724505816602
HB_BUSAVG,2018,2,21.854315476190465,5.09,73.49,7.541317693617223,0.1976839298736605
HB_BUSAVG,2018,3,22.561978465679648,7.34,69.97,8.35799112360004,0.1819948552991268
HB_BUSAVG,2018,4,23.142958333333308,6.22,53.44,7.3667687663368335,0.15694636892300523
HB_BUSAVG,2018,5,34.00524193548385,8.49,541.31,38.314470370603864,0.2254136375175431
HB_BUSAVG,2018,6,29.96612499999997,15.16,114.07,14.658058238847639,0.14551742350821603
HB_BUSAVG,2018,7,78.85944892473117,9.9,2061.99,233.36169591636278,0.3779505242755056
HB_BUSAVG,2018,8,31.661559139784913,12.71,149.91,18.572329132601762,0.16271829036700877
HB_BUSAVG,2018,9,27.17544444444446,14.59,88.96,10.5109675059282,0.1213007732930625
HB_BUSAVG,2018,10,29.95782258064515,10.32,95.21,10.16982978140472,0.13638483122994455
HB_BUSAVG,2018,11,30.644499999999972,9.3,108.07,11.598420053307358,0.17010822084026225
HB_BUSAVG,2018,12,30.268185483870955,6.64,117.74,10.12306655686283,0.1757692223131917
HB_BUSAVG,2019,1,24.59256720430107,5.72,75.28,8.130355147669786,0.16938055670846341
HB_BUSAVG,2019,2,21.186369047619046,5.06,56.68,7.013010151618259,0.18851314912541237
HB_BUSAVG,2019,3,27.565720053835797,7.31,675.6,34.263891687476494,0.20162472722611582
HB_BUSAVG,2019,4,22.613180555555562,5.34,102.53,11.853101342168479,0.19124208411110433
HB_BUSAVG,2019,5,23.959932795698922,9.46,67.19,8.560298614984854,0.13222073347644592
HB_BUSAVG,2019,6,25.08554166666668,8.72,102.2,13.651568525669756,0.1478397469071405
HB_BUSAVG,2019,7,29.72962365591398,11.28,274.56,26.86115729182233,0.1944335898353374
HB_BUSAVG,2019,8,126.38408602150527,10.04,3499.84,401.206306600097,0.5133984120732928
HB_BUSAVG,2019,9,79.61562499999994,7.88,5008.32,380.21393107679,0.34928628138987156
HB_BUSAVG,2019,10,28.247056451612934,6.39,851.45,53.26734427541531,0.23041418986048273
HB_BUSAVG,2019,11,23.46837500000001,3.26,203.7,14.638393552028687,0.22840879392071128
HB_BUSAVG,2019,12,18.715080645161272,3.74,59.84,6.744975917531296,0.18481639846339173
HB_HOUSTON,2016,1,19.565725806451617,5.19,54.55,5.6487473817289935,0.16651552169972894
HB_HOUSTON,2016,2,15.464540229885062,2.1,50.75,5.811656068895286,0.22040169529876424
HB_HOUSTON,2016,3,17.12495289367428,1.36,72.32,7.70473596551608,0.21219370326340173
HB_HOUSTON,2016,4,18.940958333333334,1.26,99.0,10.265435546159962,0.23041339390890328
HB_HOUSTON,2016,5,19.17408602150539,3.04,73.62,9.38017837807119,0.18015366012046083
HB_HOUSTON,2016,6,26.255736111111084,4.31,141.0,15.3243472685475,0.16400840958115592
HB_HOUSTON,2016,7,29.53892473118277,10.08,101.38,14.978876680896809,0.15948066037252376
HB_HOUSTON,2016,8,32.9725403225807,13.49,269.69,33.121781875193165,0.1974102731209508
HB_HOUSTON,2016,9,28.742416666666674,11.49,211.23,16.821039643259603,0.1492869929852217
